seq,payload_bytes,client_send_ns,client_recv_ns,rtt_ms,server_recv_ns,server_send_ns,server_proc_ms,throughput_bps,jitter_ms
1,1024,497269948442,497280558718,10.610276,584657685027,584658134192,0.449165,772081.71,
2,1024,497288170250,497290568356,2.398106,584667880302,584668195299,0.314997,3416029.15,8.212170
3,1024,497296087835,497298754633,2.666798,584675250503,584676242489,0.991986,3071848.71,0.268692
4,1024,497304635721,497307204082,2.568361,584684140756,584684562956,0.422200,3189582.77,0.098437
5,1024,497324536093,497326777641,2.241548,584703854768,584704636206,0.781438,3654617.26,0.326813
6,1024,497332969626,497335284306,2.314680,584712218305,584712943562,0.725257,3539150.12,0.073132
7,1024,497340750779,497342722081,1.971302,584719742472,584720417791,0.675319,4155629.12,0.343378
8,1024,497348606322,497350867215,2.260893,584728178187,584728554592,0.376405,3623347.06,0.289591
9,1024,497356756471,497359470517,2.714046,584736341901,584737066042,0.724141,3018371.83,0.453153
10,1024,497365841419,497369106645,3.265226,584745452470,584746606165,1.153695,2508861.56,0.551180
11,1024,497377775835,497380135473,2.359638,584757101177,584757673924,0.572747,3471718.97,0.905588
12,1024,497387145030,497388868862,1.723832,584766212837,584766713045,0.500208,4752203.23,0.635806
13,1024,497397211689,497400283254,3.071565,584776910459,584777455441,0.544982,2667044.32,1.347733
14,1024,497406287179,497408297466,2.010287,584785373624,584785893208,0.519584,4075040.03,1.061278
15,1024,497419177984,497421050682,1.872698,584798398944,584798984483,0.585539,4374437.31,0.137589
16,1024,497432225547,497435627069,3.401522,584811695412,584812901078,1.205666,2408333.68,1.528824
17,1024,497443719946,497445535388,1.815442,584822829605,584823382458,0.552853,4512399.74,1.586080
18,1024,497451138507,497453486148,2.347641,584830656744,584831268612,0.611868,3489460.27,0.532199
19,1024,497464669663,497466789461,2.119798,584844102247,584844700318,0.598071,3864519.17,0.227843
20,1024,497473941964,497475874601,1.932637,584853406522,584853817567,0.411045,4238768.07,0.187161
21,1024,497482286159,497485013970,2.727811,584861926175,584862813204,0.887029,3003140.61,0.795174
22,1024,497491317758,497493454399,2.136641,584870707825,584871211417,0.503592,3834055.42,0.591170
23,1024,497500597983,497503428785,2.830802,584880403573,584881220882,0.817309,2893879.54,0.694161
24,1024,497514842733,497517514901,2.672168,584894769951,584895147451,0.377500,3065675.51,0.158634
25,1024,497533309907,497537004935,3.695028,584914653546,584915029742,0.376196,2217033.27,1.022860
26,1024,497545355193,497547590877,2.235684,584924739029,584925441995,0.702966,3664202.99,1.459344
27,1024,497555088757,497557635620,2.546863,584934300528,584935713002,1.412474,3216505.95,0.311179
28,1024,497571185912,497574272098,3.086186,584950773344,584951528667,0.755323,2654409.03,0.539323
29,1024,497583404325,497585856025,2.451700,584963146094,584963818147,0.672053,3341354.98,0.634486
30,1024,497596172409,497599018467,2.846058,584976431332,584976875571,0.444239,2878367.20,0.394358
31,1024,497605941184,497609222031,3.280847,584985582251,584987071293,1.489042,2496916.19,0.434789
32,1024,497624609222,497627018865,2.409643,585004369471,585004939594,0.570123,3399673.73,0.871204
33,1024,497632774310,497635193614,2.419304,585012307490,585013016565,0.709075,3386097.82,0.009661
34,1024,497641214653,497643278279,2.063626,585020744049,585021332779,0.588730,3969711.57,0.355678
35,1024,497650719142,497652858873,2.139731,585030273586,585030871970,0.598384,3828518.63,0.076105
36,1024,497661202910,497663740570,2.537660,585040899608,585041456189,0.556581,3228170.83,0.397929
37,1024,497670416203,497672833602,2.417399,585050176099,585050667612,0.491513,3388766.19,0.120261
38,1024,497683057745,497688545476,5.487731,585064453399,585065402404,0.949005,1492784.54,3.070332
39,1024,497695339609,497697150440,1.810831,585074520070,585074962658,0.442588,4523889.86,3.676900
40,1024,497704904556,497708310180,3.405624,585085162697,585085947793,0.785096,2405432.90,1.594793
41,1024,497716239873,497719072376,2.832503,585096770773,585097107780,0.337007,2892141.69,0.573121
42,1024,497730408536,497736125032,5.716496,585111260309,585113051450,1.791141,1433045.70,2.883993
43,1024,497742483590,497745099662,2.616072,585122400115,585123294708,0.894593,3131412.29,3.100424
44,1024,497752248863,497754848103,2.599240,585132366364,585132910501,0.544137,3151690.49,0.016832
45,1024,497760835885,497763951305,3.115420,585140806039,585141380940,0.574901,2629501.00,0.516180
46,1024,497769508415,497771631157,2.122742,585149193153,585149703859,0.510706,3859159.52,0.992678
