seq,payload_bytes,client_send_ns,client_recv_ns,rtt_ms,server_recv_ns,server_send_ns,server_proc_ms,throughput_bps,jitter_ms
1,1024,1523514715044,1523658833316,144.118272,1605652473027,1605654431011,1.957984,56842.20,
2,1024,1523680017253,1523781953466,101.936213,1605777590611,1605777938702,0.348091,80363.98,42.182059
3,1024,1523788204164,1523921650044,133.445880,1605914867018,1605916092363,1.225345,61388.18,31.509667
4,1024,1523932154055,1524037981283,105.827228,1606031768010,1606032723796,0.955786,77409.19,27.618652
5,1024,1524045198343,1524321350177,276.151834,1606313569971,1606315718703,2.148732,29664.84,170.324606
6,1024,1524332589516,1524489523543,156.934027,1606482996897,1606483565536,0.568639,52200.28,119.217807
7,1024,1524495375560,1524601415736,106.040176,1606595811389,1606596313673,0.502284,77253.74,50.893851
8,1024,1524612020585,1524723635653,111.615068,1606715162901,1606717601714,2.438813,73395.11,5.574892
9,1024,1524731202226,1524892785024,161.582798,1606886440983,1606887195705,0.754722,50698.47,49.967730
10,1024,1524906277623,1525013182871,106.905248,1607004294961,1607005758925,1.463964,76628.60,54.677550
11,1024,1525019271321,1525122959343,103.688022,1607115836094,1607117189940,1.353846,79006.23,3.217226
12,1024,1525130150279,1525246052041,115.901762,1607232121702,1607238449363,6.327661,70680.55,12.213740
13,1024,1525259456348,1525653198934,393.742586,1607644310395,1607645284745,0.974350,20805.47,277.840824
14,1024,1525659380997,1525767854572,108.473575,1607758427812,1607761333473,2.905661,75520.70,285.269011
15,1024,1525782211202,1525986520382,204.309180,1607976213819,1607979461160,3.247341,40096.09,95.835605
16,1024,1525992756400,1526136476095,143.719695,1608128630732,1608129222195,0.591463,56999.84,60.589485
17,1024,1526148429108,1526275729707,127.300599,1608268227028,1608268863377,0.636349,64351.62,16.419096
18,1024,1526282575212,1526399769479,117.194267,1608392383646,1608392928701,0.545055,69901.03,10.106332
19,1024,1526407693490,1526517322429,109.628939,1608504574532,1608506872535,2.298003,74724.80,7.565328
20,1024,1526523101456,1526689584205,166.482749,1608679321951,1608682108417,2.786466,49206.30,56.853810
21,1024,1526705089132,1527086008596,380.919464,1609069577915,1609071575027,1.997112,21505.86,214.436715
22,1024,1527093475020,1527217556585,124.081565,1609197043632,1609206975988,9.932356,66021.09,256.837899
23,1024,1527227136498,1527335981502,108.845004,1609326522296,1609327030030,0.507734,75262.99,15.236561
24,1024,1527347144900,1527452830908,105.686008,1609441826238,1609444157731,2.331493,77512.63,3.158996
25,1024,1527462009579,1527570947851,108.938272,1609562138878,1609562928447,0.789569,75198.55,3.252264
26,1024,1527578043476,1527686108897,108.065421,1609674213709,1609677764836,3.551127,75805.93,0.872851
27,1024,1527693833785,1527809961605,116.127820,1609796573266,1609801638053,5.064787,70542.96,8.062399
28,1024,1527819463009,1527935256729,115.793720,1609921616042,1609925207122,3.591080,70746.50,0.334100
29,1024,1527942516589,1528054682544,112.165955,1610036479785,1610046119653,9.639868,73034.64,3.627765
30,1024,1528060454160,1528221163271,160.709111,1610211649514,1610212475258,0.825744,50974.09,48.543156
31,1024,1528228680525,1528336234556,107.554031,1610325254745,1610327134722,1.879977,76166.37,53.155080
32,1024,1528341684130,1528459736778,118.052648,1610444946024,1610449828982,4.882958,69392.77,10.498617
33,1024,1528466982801,1528571573433,104.590632,1610561995509,1610562467116,0.471607,78324.41,13.462016
34,1024,1528577438512,1529073717872,496.279360,1611062455746,1611063136199,0.680453,16506.83,391.688728
35,1024,1529082316022,1529206483585,124.167563,1611195431359,1611196897645,1.466286,65975.36,372.111797
36,1024,1529216733512,1529588441174,371.707662,1611576384866,1611577012988,0.628122,22038.82,247.540099
37,1024,1529594804381,1529701221820,106.417439,1611689682530,1611690519067,0.836537,76979.86,265.290223
38,1024,1529707427814,1529810889378,103.461564,1611799340669,1611800440594,1.099925,79179.16,2.955875
39,1024,1529816520965,1529928177361,111.656396,1611916103687,1611917106243,1.002556,73367.94,8.194832
40,1024,1529933808908,1530108636598,174.827690,1612094246296,1612095461361,1.215065,46857.57,63.171294
41,1024,1530114392890,1530252191959,137.799069,1612237373553,1612239443623,2.070070,59448.88,37.028621
42,1024,1530258535034,1530363540993,105.005959,1612349706197,1612352491071,2.784874,78014.62,32.793110
43,1024,1530377221481,1530517315758,140.094277,1612504153984,1612505822755,1.668771,58474.91,35.088318
44,1024,1530527109878,1530639313422,112.203544,1612620554732,1612628077754,7.523022,73010.17,27.890733
