seq,payload_bytes,client_send_ns,client_recv_ns,rtt_ms,throughput_bps,lost,jitter_ms
1,1024,297144753060,297221432606,76,107789.47,false,0.00
2,1024,297289580686,297304412612,14,585142.86,false,0.00
3,1024,297311714228,297314754890,3,2730666.67,false,0.00
4,1024,297326358911,297328872292,2,4096000.00,false,0.00
5,1024,297338146299,297340955532,2,4096000.00,false,0.00
6,1024,297349765328,297353912183,4,2048000.00,false,0.00
7,1024,297360976436,297366514028,5,1638400.00,false,0.00
8,1024,297379343607,297382367854,3,2730666.67,false,0.00
9,1024,297389772232,297393737087,3,2730666.67,false,0.00
10,1024,297402599206,297404781756,2,4096000.00,false,0.00
11,1024,297412372150,297414955357,2,4096000.00,false,0.00
12,1024,297423474583,297430688422,7,1170285.71,false,0.00
13,1024,297445859416,297449532723,3,2730666.67,false,0.00
14,1024,297457514269,297461069094,3,2730666.67,false,0.00
15,1024,297467322751,297469853548,2,4096000.00,false,0.00
16,1024,297477881963,297486371938,8,1024000.00,false,0.00
17,1024,297493747983,297497060433,3,2730666.67,false,0.00
18,1024,297505318971,297509388325,4,2048000.00,false,0.00
19,1024,297530063428,297535670618,5,1638400.00,false,0.00
20,1024,297545638767,297549175526,3,2730666.67,false,0.00
21,1024,297555235313,297560719588,5,1638400.00,false,0.00
22,1024,297566769503,297570424565,3,2730666.67,false,0.00
23,1024,297582022704,297585786312,3,2730666.67,false,0.00
24,1024,297603190673,297617004524,13,630153.85,false,0.00
25,1024,297624335456,297627161558,2,4096000.00,false,0.00
26,1024,297637103835,297640463277,3,2730666.67,false,0.00
27,1024,297647297957,297650919050,3,2730666.67,false,0.00
28,1024,297666179454,297673077257,6,1365333.33,false,0.00
29,1024,297694210833,297706657296,12,682666.67,false,0.00
30,1024,297715328210,297721133581,5,1638400.00,false,0.00
31,1024,297727763944,297732652644,4,2048000.00,false,0.00
32,1024,297738867753,297749740105,10,819200.00,false,0.00
33,1024,297758236692,297762551352,4,2048000.00,false,0.00
34,1024,297769498169,297772447336,2,4096000.00,false,0.00
35,1024,297779373177,297783310276,3,2730666.67,false,0.00
36,1024,297791191004,297794135827,2,4096000.00,false,0.00
37,1024,297799661594,297802256354,2,4096000.00,false,0.00
38,1024,297809210623,297811692365,2,4096000.00,false,0.00
39,1024,297818511383,297820838396,2,4096000.00,false,0.00
40,1024,297826843802,297829126810,2,4096000.00,false,0.00
41,1024,297836529284,297840649871,4,2048000.00,false,0.00
42,1024,297852416306,297854008652,1,8192000.00,false,0.00
43,1024,297859705297,297862815071,3,2730666.67,false,0.00
44,1024,297873893356,297876432626,2,4096000.00,false,0.00
45,1024,297882493436,297888830673,6,1365333.33,false,0.00
46,1024,297895576814,297897697324,2,4096000.00,false,0.00
47,1024,297903307497,297905422157,2,4096000.00,false,0.00
48,1024,297920129269,297921926740,1,8192000.00,false,0.00
49,1024,297929976619,297932475320,2,4096000.00,false,0.00
50,1024,297948453044,297954804658,6,1365333.33,false,0.00
51,1024,297960601989,297962419476,1,8192000.00,false,0.00
52,1024,297968808387,297970758406,2,4096000.00,false,0.00
53,1024,297978347459,297980488989,2,4096000.00,false,0.00
54,1024,297989136769,297991547899,2,4096000.00,false,0.00
55,1024,297999993989,298003271699,3,2730666.67,false,0.00
56,1024,298015275037,298019619176,4,2048000.00,false,0.00
57,1024,298026287605,298028656569,2,4096000.00,false,0.00
58,1024,298034514347,298036625676,2,4096000.00,false,0.00
59,1024,298048102450,298051874260,3,2730666.67,false,0.00
60,1024,298058444287,298063111894,4,2048000.00,false,0.00
61,1024,298074169144,298090332997,16,512000.00,false,0.00
62,1024,298101889954,298106042939,4,2048000.00,false,0.00
63,1024,298113128421,298115159603,2,4096000.00,false,0.00
64,1024,298124684974,298128348576,3,2730666.67,false,0.00
65,1024,298141982175,298145893886,3,2730666.67,false,0.00
66,1024,298152564133,298154517369,1,8192000.00,false,0.00
67,1024,298163439682,298166027878,2,4096000.00,false,0.00
68,1024,298171573268,298178702518,7,1170285.71,false,0.00
69,1024,298190376874,298193602711,3,2730666.67,false,0.00
70,1024,298200087360,298202946733,2,4096000.00,false,0.00
71,1024,298213715601,298216163773,2,4096000.00,false,0.00
72,1024,298222101434,298229701821,7,1170285.71,false,0.00
73,1024,298235897335,298238816668,2,4096000.00,false,0.00
74,1024,298245414614,298248900712,3,2730666.67,false,0.00
75,1024,298255819872,298258230283,2,4096000.00,false,0.00
76,1024,298265512626,298267584233,2,4096000.00,false,0.00
77,1024,298273868816,298275471361,1,8192000.00,false,0.00
78,1024,298281686840,298285029858,3,2730666.67,false,0.00
79,1024,298291066558,298292799464,1,8192000.00,false,0.00
80,1024,298299203076,298302018155,2,4096000.00,false,0.00
81,1024,298312600190,298314169061,1,8192000.00,false,0.00
82,1024,298319543754,298321460347,1,8192000.00,false,0.00
83,1024,298327828916,298330652274,2,4096000.00,false,0.00
84,1024,298336197197,298338242872,2,4096000.00,false,0.00
85,1024,298344723214,298346666072,1,8192000.00,false,0.00
86,1024,298353495452,298355434228,1,8192000.00,false,0.00
87,1024,298362458089,298365332383,2,4096000.00,false,0.00
88,1024,298377670948,298379604207,1,8192000.00,false,0.00
89,1024,298386004809,298388724137,2,4096000.00,false,0.00
90,1024,298395174559,298396877585,1,8192000.00,false,0.00
91,1024,298403655498,298405340289,1,8192000.00,false,0.00
92,1024,298411452659,298413679663,2,4096000.00,false,0.00
93,1024,298420442117,298423345980,2,4096000.00,false,0.00
94,1024,298431111828,298432652615,1,8192000.00,false,0.00
95,1024,298440583789,298443808475,3,2730666.67,false,0.00
96,1024,298450104473,298453520457,3,2730666.67,false,0.00
97,1024,298464613401,298466268960,1,8192000.00,false,0.00
98,1024,298473495160,298475106193,1,8192000.00,false,0.00
