seq,payload_bytes,server_recv_ns,server_proc_ms
1,1024,384550142254,0
2,1024,384676836305,0
3,1024,384686799942,0
4,1024,384701518435,0
5,1024,384713356754,0
6,1024,384724634170,0
7,1024,384738377538,0
8,1024,384754555930,0
9,1024,384765369497,0
10,1024,384777017948,0
11,1024,384786987548,0
12,1024,384803074726,0
13,1024,384821874929,0
14,1024,384832412151,0
15,1024,384841780324,0
16,1024,384853369408,0
17,1024,384869053772,0
18,1024,384880948472,0
19,1024,384906827928,0
20,1024,384921122091,0
21,1024,384932436328,0
22,1024,384941895411,0
23,1024,384956984458,0
24,1024,384980054401,0
25,1024,384999314059,0
26,1024,385012408975,0
27,1024,385022654801,0
28,1024,385042043080,0
29,1024,385078269270,0
30,1024,385090646568,0
31,1024,385104558971,0
32,1024,385116249785,0
33,1024,385133393127,0
34,1024,385144641984,0
35,1024,385154947101,0
36,1024,385166019508,0
37,1024,385174793486,0
38,1024,385184218827,0
39,1024,385193355477,0
40,1024,385201264698,0
41,1024,385212788072,0
42,1024,385226539329,0
43,1024,385234204170,0
44,1024,385248292520,0
45,1024,385260724499,0
46,1024,385270248174,0
47,1024,385277795804,0
48,1024,385294304554,0
49,1024,385304642473,0
50,1024,385323122331,0
51,1024,385334914292,0
52,1024,385343103255,0
53,1024,385352371615,0
54,1024,385363649246,0
55,1024,385374603458,0
56,1024,385390074036,0
57,1024,385400606569,0
58,1024,385408848237,0
59,1024,385423458756,0
60,1024,385435223554,0
61,1024,385449008509,0
62,1024,385477632579,0
63,1024,385487594608,0
64,1024,385499537780,0
65,1024,385517793877,0
66,1024,385526922336,0
67,1024,385538475796,0
68,1024,385546140774,0
69,1024,385565038963,0
70,1024,385575051546,0
71,1024,385588686969,0
72,1024,385597047448,0
73,1024,385610597641,0
74,1024,385620853901,0
75,1024,385630427341,0
76,1024,385639777354,0
77,1024,385648126077,0
78,1024,385657591822,0
79,1024,385665276778,0
80,1024,385674090457,0
81,1024,385686895839,0
82,1024,385694093448,0
83,1024,385703202554,0
84,1024,385710766487,0
85,1024,385718880793,0
86,1024,385727697274,0
87,1024,385737446522,0
88,1024,385751840695,0
89,1024,385760317164,0
90,1024,385769266335,0
91,1024,385777875598,0
92,1024,385786176734,0
93,1024,385794574162,0
94,1024,385805356753,0
95,1024,385815459503,0
96,1024,385825384427,0
97,1024,385838784090,0
98,1024,385847823137,0
99,1024,385856725304,0
100,1024,385866123896,0
