seq,payload_bytes,server_recv_ns,server_proc_ms
1,1024,1566130952894,0
2,1024,1566374982588,0
3,1024,1566507384013,0
4,1024,1566759864494,0
5,1024,1566883869739,0
6,1024,1567005323449,0
7,1024,1567127909228,0
8,1024,1567252698422,0
9,1024,1567368199195,0
10,1024,1567480646570,0
11,1024,1567597089782,0
12,1024,1567712467725,0
13,1024,1567833189830,0
14,1024,1567945630784,0
15,1024,1568060082233,0
16,1024,1568183026867,0
17,1024,1568470302954,0
18,1024,1568667663528,0
19,1024,1568832941093,0
20,1024,1568946792621,0
21,1024,1569061274063,0
22,1024,1569190888054,0
23,1024,1569322972680,0
24,1024,1569605106294,0
25,1024,1569763725786,0
26,1024,1569877882616,0
27,1024,1569987297158,0
28,1024,1570097359267,0
29,1024,1570263505676,0
30,1024,1570389378373,0
31,1024,1570505000333,0
32,1024,1570868308252,0
33,1024,1571093493106,0
34,1024,1571211122880,0
35,1024,1571329021695,0
36,1024,1571446822581,0
37,1024,1571583823257,0
38,1024,1571703220049,0
39,1024,1571820253709,0
40,1024,1571932749055,0
41,1024,1572096764457,0
42,1024,1572211522878,0
43,1024,1572322701265,0
44,1024,1572607622848,0
45,1024,1572729448442,0
46,1024,1572844230094,0
47,1024,1572955862035,0
48,1024,1573081561581,0
49,1024,1573202025262,0
50,1024,1573318274018,0
51,1024,1573466479950,0
52,1024,1573583781625,0
53,1024,1573702030476,0
54,1024,1573818049869,0
55,1024,1573928371669,0
56,1024,1574050770313,0
57,1024,1574163706748,0
58,1024,1574296569769,0
59,1024,1574497842239,0
60,1024,1574622694726,0
61,1024,1574749562927,0
62,1024,1574915206013,0
63,1024,1575055237635,0
64,1024,1575194963943,0
65,1024,1575311194260,0
66,1024,1575428745327,0
67,1024,1575611089366,0
68,1024,1575782282306,0
69,1024,1575964647678,0
70,1024,1576077235155,0
71,1024,1576193299711,0
72,1024,1576305200847,0
73,1024,1576429205443,0
74,1024,1576548245119,0
75,1024,1576662741218,0
76,1024,1576784743401,0
77,1024,1576900942087,0
78,1024,1577013017050,0
79,1024,1577137528002,0
80,1024,1577258106238,0
81,1024,1577374531985,0
82,1024,1577492488929,0
83,1024,1577632655630,0
84,1024,1577744652050,0
85,1024,1577897566355,0
86,1024,1578010007386,0
87,1024,1578129195125,0
88,1024,1578336695987,0
89,1024,1578453693820,0
90,1024,1578580759472,0
91,1024,1578724605617,0
92,1024,1578961843311,0
93,1024,1579074086946,0
94,1024,1579310265805,0
95,1024,1579431910575,0
96,1024,1579544008481,0
97,1024,1579727561694,0
98,1024,1579885476663,0
99,1024,1580007427991,0
100,1024,1580142195472,0
